Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Great,Wall,Ute / Tray,2011 Great Wall V240 (4X4),USED,Manual,"4 cyl, 2.4 L",4WD,Unleaded,10.7 L / 100 km,63598,"Oak Flats, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,12999
Toyota,Camry,Sedan,2017 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,103786,"South Hurstville, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,23990
Honda,Fit,USED Dealer ad,2014 Honda Fit,USED,-,-,Other,Other,-,44248,"Minchinbury, NSW",-,Hatchback,,,18995
Ford,Focus,Hatchback,2013 Ford Focus Sport,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,75426,"Wollongong, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17888
Ford,Ranger,Ute / Tray,2020 Ford Ranger Wildtrak 2.0 (4X4),USED,Automatic,"4 cyl, 2 L",4WD,Diesel,7.4 L / 100 km,56076,"West Gosford, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,58888
Mazda,CX-5,SUV,2021 Mazda CX-5 GT SP Turbo (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.2 L / 100 km,51806,"Penrith, NSW",4 cyl,SUV, 4 Doors, 5 Seats,43987
Ford,Ranger,Ute / Tray,2017 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,7.5 L / 100 km,95539,"Enfield, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,29990
Mitsubishi,Outlander,SUV,2016 Mitsubishi Outlander XLS (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Diesel,5.8 L / 100 km,138086,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 7 Seats,29995
Kia,Sportage,SUV,2020 Kia Sportage S (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,36000,"South Nowra, NSW",4 cyl,SUV, 4 Doors, 5 Seats,31990
Toyota,Hilux,Ute / Tray,2012 Toyota Hilux SR5 (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,176700,"Wangara, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,33990
Nissan,Qashqai,SUV,2019 Nissan Qashqai ST-L,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,68118,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,26990
Toyota,Yaris,Hatchback,2019 Toyota Yaris Ascent,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.4 L / 100 km,111041,"Brookvale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,20990
Honda,Jazz,Hatchback,2008 Honda Jazz GLI,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.6 L / 100 km,196751,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,6990
