Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,Landcruiser,SUV,2018 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,66349,"Port Macquarie, NSW",4 cyl,SUV, 4 Doors, 7 Seats,65990
Honda,CR-V,SUV,2014 Honda CR-V VTI (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7 L / 100 km,87284,"East Maitland, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23986
Porsche,Cayenne,SUV,2017 Porsche Cayenne Diesel Platinum Edition,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.6 L / 100 km,62229,"Rozelle, NSW",6 cyl,SUV, 4 Doors, 5 Seats,74800
Nissan,Qashqai,SUV,2017 Nissan Qashqai TL,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,4.9 L / 100 km,129794,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,22890
LDV,D90,SUV,2020 LDV D90 Executive (4WD) D20,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,9.1 L / 100 km,20011,"Port Macquarie, NSW",4 cyl,SUV, 4 Doors, 7 Seats,38990
Toyota,FJ,Taree City Car Sales,2015 Toyota FJ Cruiser GSJ15R Wagon 5dr Auto 5sp 4x4 4.0i,USED,Automatic,-,Other,-,-,157804,"Taree, NSW",-,Wagon,,,39777
Subaru,Impreza,Hatchback,2014 Subaru Impreza 2.0I Luxury Limited Edition,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.8 L / 100 km,104874,"Traralgon, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,16990
Ford,Focus,Hatchback,2013 Ford Focus Trend,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,34802,"Armidale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15990
Hyundai,Tucson,SUV,2015 Hyundai Tucson Active X (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,143324,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,19500
Subaru,Forester,SUV,2018 Subaru Forester 2.5I-S,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,74200,"New Lambton, NSW",4 cyl,SUV, 4 Doors, 5 Seats,29990
Hyundai,Santa,SUV,2015 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,72395,"Armidale, NSW",4 cyl,SUV, 4 Doors, 7 Seats,30990
Mazda,CX-5,Rockdale Mazda New,2023 Mazda CX-5 Maxx Sport (awd),NEW,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,7,"Arncliffe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,46888
Kia,Sportage,SUV,2021 Kia Sportage S (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,58656,"Belconnen, ACT",4 cyl,SUV, 4 Doors, 5 Seats,28730
Toyota,Landcruiser,SUV,2017 Toyota Landcruiser VX (4X4),USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,9.5 L / 100 km,193974,"Taree, NSW",8 cyl,SUV, 4 Doors, 7 Seats,83990
Kia,Sorento,SUV,2019 Kia Sorento SI (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10 L / 100 km,86489,"Traralgon, VIC",6 cyl,SUV, 4 Doors, 7 Seats,30999
Honda,CR-V,SGM 4x4 & Commercials (Macksville),2010 Honda CR-V RE MY2007 Special Edition Wagon 4dr Auto 5sp 4x4 2.4i,USED,Automatic,-,Other,-,-,179741,"Macksville, NSW",-,Wagon,,,12750
Suzuki,Vitara,SUV,2017 Suzuki Vitara RT-S,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6 L / 100 km,60982,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,23890
Toyota,Kluger,SUV,2018 Toyota Kluger Grande (4X4),USED,Automatic,"6 cyl, 3.5 L",AWD,Unleaded,9.5 L / 100 km,77382,"Cardiff, NSW",6 cyl,SUV, 4 Doors, 7 Seats,49880
Mazda,6,Sedan,2009 Mazda 6 Luxury,USED,Automatic,"4 cyl, 2.5 L",Front,Premium,8.7 L / 100 km,181816,"Wauchope, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9950
Mitsubishi,Outlander,SUV,2021 Mitsubishi Outlander ES 5 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.2 L / 100 km,22583,"Lavington, NSW",4 cyl,SUV, 4 Doors, 5 Seats,38990
Suzuki,Vitara,SUV,2018 Suzuki Vitara RT-S,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6 L / 100 km,8211,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,24990
Mazda,CX-5,SUV,2020 Mazda CX-5 Touring (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,37025,"Traralgon, VIC",4 cyl,SUV, 4 Doors, 5 Seats,36999
Subaru,XV,Coffs Harbour Toyota Pre-Owned,2021 Subaru XV 2.0I Premium,USED,Automatic,-,Other,Unleaded,-,35841,"Coffs Harbour, NSW",-,SUV,,,35490
Audi,A4,Audi Alto Artarmon New Cars,2023 Audi A4 35 Tfsi S Line Mhev,DEMO,Automatic,"4 cyl, 2 L",Front,Premium,6.1 L / 100 km,2005,"Artarmon, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,67788
Nissan,Micra,Hatchback,2011 Nissan Micra ST,USED,Manual,"3 cyl, 1.2 L",Front,Unleaded,5.9 L / 100 km,121673,"Fyshwick, ACT",3 cyl,Hatchback, 5 Doors, 5 Seats,5990
Toyota,Landcruiser,SUV,2013 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.5 L / 100 km,125640,"Bega, NSW",4 cyl,SUV, 4 Doors, 7 Seats,43920
Toyota,Land,Coffs Harbour Toyota Pre-Owned,2023 Toyota Land Cruiser VX,USED,Automatic,-,Other,Diesel,-,67,"Coffs Harbour, NSW",-,SUV,,,144990
Nissan,Navara,Ute / Tray,2014 Nissan Navara ST-R (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.2 L / 100 km,267435,"Cardiff, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,16413
Subaru,Forester,SUV,2020 Subaru Forester 2.5I (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,58797,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,32670
Toyota,Hilux,Ute / Tray,2016 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,169479,"Traralgon, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,32999
Toyota,Landcruiser,SUV,2013 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.5 L / 100 km,206734,"Lavington, NSW",4 cyl,SUV, 4 Doors, 7 Seats,39990
Holden,Trax,SUV,2014 Holden Trax LTZ,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.9 L / 100 km,145154,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,13880
Mitsubishi,Lancer,Sedan,2009 Mitsubishi Lancer VR-X,USED,Manual,"4 cyl, 2.4 L",Front,Unleaded,8.7 L / 100 km,192564,"South Tamworth, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9990
Mazda,CX-5,SUV,2022 Mazda CX-5 Akera Turbo (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.2 L / 100 km,2018,"Stanmore, NSW",4 cyl,SUV, 4 Doors, 5 Seats,58990
Toyota,Land,Coffs Harbour Toyota Pre-Owned,2023 Toyota Land Cruiser GXL Troopcarrier,USED,Manual,-,Other,Diesel,-,5,"Coffs Harbour, NSW",-,SUV,,,108990
Jeep,Compass,NEW In stock,2023 Jeep Compass S-Limited,NEW,Automatic,-,Other,Unleaded,-,29,"Fyshwick, ACT",-,SUV,,,57469
Ford,Mustang,Hatchback,2021 Ford Mustang GT 5.0 V8,USED,Automatic,"8 cyl, 5 L",Rear,Premium,12.7 L / 100 km,28880,"Traralgon, VIC",8 cyl,Hatchback, 2 Doors, 4 Seats,65999
Hyundai,IX35,SUV,2013 Hyundai IX35 SE (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,7.5 L / 100 km,104912,"Lavington, NSW",4 cyl,SUV, 4 Doors, 5 Seats,16590
Ford,Fiesta,Hatchback,2009 Ford Fiesta CL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.9 L / 100 km,208002,"Phillip, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,6670
Toyota,Corolla,Hatchback,2016 Toyota Corolla Ascent Sport,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,136245,"Port Macquarie, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17990
Kia,Picanto,Hatchback,2021 Kia Picanto GT-Line (pe),USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,5.8 L / 100 km,27867,"Coffs Harbour, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22750
Mercedes-Benz,C300,Coupe,2016 Mercedes-Benz C300,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6 L / 100 km,100612,"Phillip, ACT",4 cyl,Coupe, 2 Doors, 4 Seats,39990
Volkswagen,Beetle,Hatchback,2013 Volkswagen Beetle Fender Edition,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.4 L / 100 km,98091,"Traralgon, VIC",4 cyl,Hatchback, 3 Doors, 4 Seats,23990
Toyota,Landcruiser,Ute / Tray,2018 Toyota Landcruiser GXL (4X4),USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,10.7 L / 100 km,69025,"Padstow, NSW",8 cyl,Ute / Tray, 4 Doors, 5 Seats,99990
Subaru,Impreza,Hatchback,2018 Subaru Impreza 2.0I-S (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.2 L / 100 km,33366,"Coffs Harbour, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,29999
Mini,Cooper,Top Used Cars,2010 Mini Cooper Cooper,USED,Manual,-,Front,Premium,-,133330,"Fyshwick, ACT",-,Wagon,,,15999
Hyundai,Accent,Hatchback,2015 Hyundai Accent Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,94682,"Port Macquarie, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13990
Ford,Mustang,Coupe,2017 Ford Mustang Fastback GT 5.0 V8,USED,Automatic,"8 cyl, 5 L",Rear,Premium,12.6 L / 100 km,57694,"Coffs Harbour, NSW",8 cyl,Coupe, 2 Doors, 4 Seats,49995
HSV,Senator,Sedan,2017 HSV Senator Signature 30TH Edition,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,15 L / 100 km,4408,"Artarmon, NSW",8 cyl,Sedan, 4 Doors, 5 Seats,115900
Mercedes-Benz,ML350,SUV,2011 Mercedes-Benz ML350 CDI Sports Luxury (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,9.8 L / 100 km,165000,"Fyshwick, ACT",6 cyl,SUV, 4 Doors, 5 Seats,22830
Ford,Territory,SUV,2011 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,192356,"Traralgon, VIC",6 cyl,SUV, 4 Doors, 7 Seats,17990
Holden,Colorado,Ute / Tray,2014 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,173342,"Lavington, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,26990
GWM,Tank,NEW In stock,2023 GWM Tank 300 Ultra,NEW,Automatic,-,Other,Unleaded,-,14,"Port Macquarie, NSW",-,SUV,,,51500
Porsche,Macan,SUV,2020 Porsche Macan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.9 L / 100 km,28833,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,89930
Mercedes-Benz,C43,Sedan,2019 Mercedes-Benz C43,USED,Automatic,"6 cyl, 3 L",AWD,Premium,8.2 L / 100 km,93271,"Rozelle, NSW",6 cyl,Sedan, 4 Doors, 4 Seats,69800
Audi,Q5,Bellbowrie Motor Group New Cars,2023 Audi Q5 40 TDI Quattro Mhev,DEMO,Automatic,"4 cyl, 2 L",AWD,Hybrid,5.4 L / 100 km,1178,"Coffs Harbour, NSW",4 cyl,SUV, 4 Doors, 5 Seats,87850
Mercedes-Benz,E400,Sedan,2015 Mercedes-Benz E400,USED,Automatic,"6 cyl, 3 L",Rear,Premium,7.6 L / 100 km,116888,"Moruya, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,38990
Mazda,CX-9,Rockdale Mazda New,2023 Mazda CX-9 GT SP (awd),NEW,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.8 L / 100 km,7,"Arncliffe, NSW",4 cyl,SUV, 4 Doors, 7 Seats,74888
Jeep,Wrangler,Bellbowrie Motor Group New Cars,2022 Jeep Wrangler Unlimited Rubicon (4X4),NEW,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,10.3 L / 100 km,21,"Coffs Harbour, NSW",6 cyl,SUV, 4 Doors, 5 Seats,87987
Hyundai,Sonata,Sedan,2018 Hyundai Sonata Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.3 L / 100 km,114004,"Traralgon, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,22999
Mazda,3,Sedan,2016 Mazda 3 SP25,USED,Manual,"4 cyl, 2.5 L",Front,Unleaded,6.5 L / 100 km,70553,"Belconnen, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,19725
Haval,H9,SUV,2020 Haval H9 Ultra,USED,Automatic,"4 cyl, 2 L",4WD,Premium,10.9 L / 100 km,121426,"South Tamworth, NSW",4 cyl,SUV, 4 Doors, 7 Seats,35990
Mercedes-Benz,C300,Sedan,2017 Mercedes-Benz C300,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.5 L / 100 km,32550,"Coffs Harbour, NSW",4 cyl,Sedan, 4 Doors, 4 Seats,44450
Porsche,Cayenne,SUV,2020 Porsche Cayenne S,USED,Automatic,"6 cyl, 2.9 L",AWD,Premium,9.4 L / 100 km,39650,"Rydalmere, NSW",6 cyl,SUV, 4 Doors, 5 Seats,164950
Kia,Sportage,SUV,2015 Kia Sportage SI (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.8 L / 100 km,87348,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,18990
Ford,Kuga,SUV,2016 Ford Kuga Titanium (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.6 L / 100 km,156832,"Seymour, VIC",4 cyl,SUV, 4 Doors, 5 Seats,18990
Land,Rover,NEW In stock,2023 Land Rover Range Rover Velar R-Dynamic SE,NEW,Automatic,-,Other,Unleaded,-,50,"Lavington, NSW",-,SUV,,,126490
Toyota,RAV4,SUV,2023 Toyota RAV4 XSE (2WD) Hybrid Premium Paint,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,4.8 L / 100 km,46,"Alexandria, NSW",4 cyl,SUV, 5 Doors, 5 Seats,64990
Ssangyong,Stavic,Wagon,2014 Ssangyong Stavic,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,7.8 L / 100 km,161877,"Port Macquarie, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,12990
Holden,Commodore,Wagon,2019 Holden Commodore LT (5YR),USED,Automatic,"4 cyl, 2 L",Front,Premium,7.7 L / 100 km,42098,"Belconnen, ACT",4 cyl,Wagon, 4 Doors, 5 Seats,23735
Audi,A3,Audi Alto Artarmon New Cars,2023 Audi A3 40 Tfsi Quattro,DEMO,Automatic,"4 cyl, 2 L",AWD,Premium,6.6 L / 100 km,2088,"Artarmon, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,69788
Toyota,Corolla,Hatchback,2017 Toyota Corolla ZR,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,93019,"Fyshwick, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,23880
Ford,Transit,Jacob Toyota,2017 Ford Transit 350L (Mid Roof),USED,Automatic,-,Front,Diesel,-,175844,"Wodonga, VIC",-,Commercial,,,41990
Subaru,Liberty,Sedan,2018 Subaru Liberty 2.5I Premium,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3 L / 100 km,82492,"Traralgon, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,26999
LDV,G10,Commercial,2020 LDV G10,USED,Automatic,"4 cyl, 1.9 L",Rear,Diesel,8.6 L / 100 km,20862,"Port Macquarie, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,29990
Audi,A3,Convertible,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,4.9 L / 100 km,85738,"Phillip, ACT",4 cyl,Convertible, 2 Doors, 4 Seats,19990
Mazda,CX-8,Sutherland Mazda New Cars,2023 Mazda CX-8 D35 Asaki (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6 L / 100 km,15,"Kirrawee, NSW",4 cyl,SUV, 4 Doors, 7 Seats,68800
Toyota,Camry,Sedan,2019 Toyota Camry Ascent,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,50216,"Wodonga, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,31990
Audi,Q3,SUV,2016 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,52180,"Phillip, ACT",4 cyl,SUV, 4 Doors, 5 Seats,27990
BMW,I4,Sedan,2022 BMW I4 Edrive40 M Sport Gran Coupe,USED,Automatic,0 L,Rear,Electric,0 L / 100 km,9143,"Port Macquarie, NSW",0 L,Sedan, 4 Doors, 5 Seats,109990
Volkswagen,Amarok,Liverpool Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,DEMO,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4 L / 100 km,21,"Liverpool, NSW",6 cyl,Ute / Tray, 4 Doors, 5 Seats,78990
Mini,Countryman,SUV,2017 Mini Countryman Cooper,USED,Automatic,"3 cyl, 1.5 L",Front,Premium,6 L / 100 km,59092,"West Ballina, NSW",3 cyl,SUV, 4 Doors, 5 Seats,35890
Toyota,Hilux,Ute / Tray,2019 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,92124,"Wodonga, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,55990
Volkswagen,Golf,Wodonga Prestige Volkswagen,2017 Volkswagen Golf GTi,USED,Manual,-,Front,Premium,-,73996,"Wodonga, VIC",-,Hatchback,,,33990
Subaru,Forester,SUV,2017 Subaru Forester 2.0D-L,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,153350,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,20990
Haval,Jolion,NEW In stock,2023 Haval Jolion Lux,NEW,Automatic,-,Other,Unleaded,-,11,"Port Macquarie, NSW",-,SUV,,,31485
LDV,T60,Ute / Tray,2019 LDV T60 Luxe (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.6 L / 100 km,24298,"Alexandria, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,31990
Kia,Cerato,Sedan,2019 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,25343,"Traralgon, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,24999
Ford,Endura,SUV,2018 Ford Endura ST-Line (fwd),USED,Automatic,"4 cyl, 2 L",Front,Diesel,6.7 L / 100 km,46193,"Wodonga, VIC",4 cyl,SUV, 4 Doors, 5 Seats,37990
Audi,Q5,Audi Alto Artarmon New Cars,2022 Audi Q5 45 Tfsi Quattro S Line Mhev,DEMO,Automatic,"4 cyl, 2 L",AWD,Hybrid,8 L / 100 km,200,"Artarmon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,94788
Ford,Everest,SUV,2020 Ford Everest Titanium (4WD 7 Seat),USED,Automatic,"4 cyl, 2 L",4WD,Diesel,7 L / 100 km,33587,"Wodonga, VIC",4 cyl,SUV, 4 Doors, 7 Seats,64990
Ford,Ecosport,SUV,2016 Ford Ecosport Trend,USED,Manual,"3 cyl, 1 L",Front,Premium,5.7 L / 100 km,107602,"Wauchope, NSW",3 cyl,SUV, 4 Doors, 5 Seats,12750
Hyundai,Tucson,Capital Honda Used Cars,2017 Hyundai Tucson Active X 2WD,USED,Manual,-,Front,Unleaded,-,52745,"Phillip, ACT",-,Wagon,,,24100
Mazda,CX-5,SUV,2014 Mazda CX-5 Maxx Sport (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,117307,"Bairnsdale, VIC",4 cyl,SUV, 4 Doors, 5 Seats,22590
Toyota,Corolla,Hatchback,2019 Toyota Corolla Ascent Sport (hybrid),USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,68333,"Traralgon, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,32990
Mercedes-Benz,GLC43,SUV,2020 Mercedes-Benz GLC43 4Matic,USED,Automatic,"6 cyl, 3 L",AWD,Premium,10.4 L / 100 km,22785,"Artarmon, NSW",6 cyl,SUV, 4 Doors, 5 Seats,95900
Holden,Colorado,SUV,2014 Holden Colorado 7 LTZ (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.4 L / 100 km,138550,"Wangaratta, VIC",4 cyl,SUV, 4 Doors, 7 Seats,27990
Mitsubishi,Triton,Ute / Tray,2015 Mitsubishi Triton GLS (4X4),USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,7.2 L / 100 km,196657,"Port Macquarie, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,24990
Kia,Carnival,Wagon,2017 Kia Carnival SI,USED,Automatic,"4 cyl, 2.2 L",Front,Diesel,7.7 L / 100 km,246117,"Traralgon, VIC",4 cyl,Wagon, 4 Doors, 8 Seats,24990
Mitsubishi,Pajero,SUV,2015 Mitsubishi Pajero Sport GLX (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8 L / 100 km,64967,"Wangaratta, VIC",4 cyl,SUV, 4 Doors, 5 Seats,36990
Toyota,Corolla,Hatchback,2020 Toyota Corolla Ascent Sport + TR KIT,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,59399,"Phillip, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,28100
Toyota,Land,Wangaratta Motor Group Used,2020 Toyota Land Cruiser Landcruiser Wagon Sahara 4.5L T Diesel Automatic,USED,Automatic,-,Other,Diesel,-,99086,"Wangaratta, VIC",-,Wagon,,,114990
Toyota,Hilux,Ute / Tray,2015 Toyota Hilux SR5 (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,116785,"Port Macquarie, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,44990
Ford,Endura,SUV,2018 Ford Endura Titanium (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.7 L / 100 km,94557,"Shepparton, VIC",4 cyl,SUV, 4 Doors, 5 Seats,32990
Ford,Ranger,Ute / Tray,2020 Ford Ranger XL 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.7 L / 100 km,189253,"Traralgon, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,30999
Haval,H6,DEMO,2022 Haval H6 Ultra,DEMO,Automatic,-,Other,Unleaded,-,1906,"Port Macquarie, NSW",-,SUV,,,41485
Mazda,BT-50,Ute / Tray,2016 Mazda BT-50 XTR (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,205245,"Shepparton, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,34990
Jeep,Compass,DEMO,2022 Jeep Compass S-Limited,DEMO,Automatic,-,Other,Unleaded,-,50,"Fyshwick, ACT",-,SUV,,,52875
Ford,Ranger,Ute / Tray,2018 Ford Ranger XL 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.7 L / 100 km,101158,"Traralgon, VIC",5 cyl,Ute / Tray, 2 Doors, 2 Seats,36999
Jeep,Renegade,SUV,2016 Jeep Renegade Longitude,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,84314,"Lismore, NSW",4 cyl,SUV, 4 Doors, 5 Seats,19990
GWM,V240,SGM 4x4 & Commercials (Macksville),2009 GWM V240 K2 Utility Dual Cab 4dr Man 5sp 4x4 2.4i,USED,Manual,-,Other,-,-,102239,"Macksville, NSW",-,Ute / Tray,,,7750
Isuzu,MU-X,SUV,2017 Isuzu MU-X LS-M (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.1 L / 100 km,82383,"Lismore, NSW",4 cyl,SUV, 4 Doors, 7 Seats,44995
Kia,Picanto,Hatchback,2019 Kia Picanto S (aeb),USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,5.8 L / 100 km,22868,"Phillip, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,18800
Volkswagen,Tiguan,SUV,2018 Volkswagen Tiguan 132 TSI Comfortline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.5 L / 100 km,56613,"Lismore, NSW",4 cyl,SUV, 4 Doors, 5 Seats,33995
Kia,Cerato,Hatchback,2019 Kia Cerato GT (turbo),USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.8 L / 100 km,23697,"Echuca, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,32950
Holden,Barina,Hatchback,2015 Holden Barina CD,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.6 L / 100 km,125581,"Armidale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11990
Toyota,Hilux,Ute / Tray,2019 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,134013,"Lismore, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,43995
Volkswagen,Tiguan,SUV,2020 Volkswagen Tiguan Allspace 132 TSI Comfortline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.9 L / 100 km,16372,"Traralgon, VIC",4 cyl,SUV, 4 Doors, 7 Seats,40999
Honda,Odyssey,Wagon,2011 Honda Odyssey Luxury,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.9 L / 100 km,220395,"Phillip, ACT",4 cyl,Wagon, 4 Doors, 7 Seats,12888
Nissan,Navara,Ute / Tray,2014 Nissan Navara RX (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,158076,"Shepparton, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,22990
Mitsubishi,Colt,SGM 4x4 & Commercials (Macksville),2006 Mitsubishi Colt RG LS Hatchback 5dr CVT 1sp 1.5i,USED,Automatic,-,Other,-,-,107913,"Macksville, NSW",-,Hatchback,,,7750
