FullName,Winery,WineName,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,WinePrice
Jean-Paul & Benoit Droin Chablis Grand Cru 'Les Clos' 2017,Jean-Paul & Benoit Droin,Chablis Grand Cru 'Les Clos',Burgundy,Chablis,4.2,51,4.3,1453,81.33
Peyre Rose Oro Blanc 2002,Peyre Rose,Oro Blanc,Languedoc-Roussillon,White,4.2,45,4.3,268,75
M. Chapoutier Chante-Alouette Hermitage Blanc 2016,M. Chapoutier,Chante-Alouette Hermitage Blanc,Northern Rhône,White,4.2,44,4.2,2316,77.5
Michel Bouzereau Meursault 'Les Tessons' 2016,Michel Bouzereau,Meursault 'Les Tessons',Burgundy,Côte de Beaune White,4.2,43,4.1,467,69.83
Ballot Millot Meursault 'Les Narvaux' 2015,Ballot Millot,Meursault 'Les Narvaux',Burgundy,Côte de Beaune White,4.2,41,4.2,305,54.1
Gut Oggau Mechthild Weiss 2015,Gut Oggau,Mechthild Weiss,Austrian,Grüner Veltliner,4.2,40,4,110,100
Robert Sinskey Orgia 2014,Robert Sinskey,Orgia,,,4.2,39,4,100,52
David Moret-Nomine Meursault 'Les Narvaux' 2016,David Moret-Nomine,Meursault 'Les Narvaux',Burgundy,Côte de Beaune White,4.2,38,4.2,346,62.95
Jean Marc Pillot La Périère Saint-Romain 2015,Jean Marc Pillot,La Périère Saint-Romain,Burgundy,Côte de Beaune White,4.2,38,4,131,27.5
Chappaz Grain Arvine de Fully 2016,Chappaz,Grain Arvine de Fully,,,4.2,37,4.2,84,52
François Cotat Les Culs de Beaujeu Sancerre 2017,François Cotat,Les Culs de Beaujeu Sancerre,Upper Loire Valley,White,4.2,37,4.1,520,55
Stonestreet Upper Barn Chardonnay 2015,Stonestreet,Upper Barn Chardonnay,Californian,Chardonnay,4.2,35,4.4,235,98
Domaine Larue Puligny-Montrachet Premier Cru 'La Garenne' 2016,Domaine Larue,Puligny-Montrachet Premier Cru 'La Garenne',Burgundy,Côte de Beaune White,4.2,33,4.2,259,59.99
Vincent Girardin Chassagne-Montrachet 1er Cru 'Clos du Cailleret' 2012,Vincent Girardin,Chassagne-Montrachet 1er Cru 'Clos du Cailleret',Burgundy,Côte de Beaune White,4.2,33,4.1,418,72
Domaine Fabien Coche (Domaine Coche-Bizouard) Meursault 'Les Chevalières' 2016,Domaine Fabien Coche (Domaine Coche-Bizouard),Meursault 'Les Chevalières',Burgundy,Côte de Beaune White,4.2,31,4.1,344,52.33
Château de Tracy Haute Densité Pouilly-Fumé 2017,Château de Tracy,Haute Densité Pouilly-Fumé,Upper Loire Valley,White,4.2,28,4.2,472,58.37
Tapanappa Tiers Vineyard Chardonnay 2008,Tapanappa,Tiers Vineyard Chardonnay,Australian,Chardonnay,4.2,28,4.1,225,70
Louis Latour Chassagne-Montrachet 1er Cru Cailleret 2014,Louis Latour,Chassagne-Montrachet 1er Cru Cailleret,Burgundy,Côte de Beaune White,4.2,25,4,232,59.5
Paul Jaboulet Aîné Hermitage Le Chevalier de Sterimberg 2008,Paul Jaboulet Aîné,Hermitage Le Chevalier de Sterimberg,Northern Rhône,White,4.1,137,4.1,1927,55.19
Egon Müller - Scharzhof Riesling Scharzhof 2015,Egon Müller - Scharzhof,Riesling Scharzhof,German,Riesling,4.1,308,4.1,2153,47.415
Vincent Dauvissat La Forest Chablís 1er Cru 2011,Vincent Dauvissat,La Forest Chablís 1er Cru,Burgundy,Chablis,4.1,306,4.2,2745,85
Ridge Vineyards Estate Chardonnay 2016,Ridge Vineyards,Estate Chardonnay,Californian,Chardonnay,4.1,264,4.1,2061,57.99
Ridge Vineyards Estate Chardonnay 2017,Ridge Vineyards,Estate Chardonnay,Californian,Chardonnay,4.1,190,4.1,2061,58
Yves Cuilleron Condrieu Les Chaillets 2016,Yves Cuilleron,Condrieu Les Chaillets,Northern Rhône,Condrieu,4.1,158,4.2,1314,76.99
Domaine Georges Vernay Les Terrasses de L'Empire Condrieu 2012,Domaine Georges Vernay,Les Terrasses de L'Empire Condrieu,Northern Rhône,Condrieu,4.1,139,4.2,1606,60.44
Radikon Slatnik 2016,Radikon,Slatnik,Northern Italy,White,4.1,312,4.1,1338,39.5
Château Mouton Rothschild Aile d'Argent Blanc Bordeaux 2016,Château Mouton Rothschild,Aile d'Argent Blanc Bordeaux,Bordeaux,White,4.1,126,4.2,2952,76
Mount Eden Vineyards Chardonnay 2014,Mount Eden Vineyards,Chardonnay,Californian,Chardonnay,4.1,126,4.2,1200,64
Château de Béru Clos Béru Monopole Chablis 2015,Château de Béru,Clos Béru Monopole Chablis,Burgundy,Chablis,4.1,111,4.1,602,70
Arínzano Gran Vino Blanco 2010,Arínzano,Gran Vino Blanco,Spanish,Chardonnay,4.1,98,4.2,515,59.99
Calera Chardonnay Mt. Harlan 2016,Calera,Chardonnay Mt. Harlan,Californian,Chardonnay,4.1,92,4.1,239,61
Michel Bouzereau Meursault 'Les Grands Charrons' 2016,Michel Bouzereau,Meursault 'Les Grands Charrons',Burgundy,Côte de Beaune White,4.1,90,4.1,1270,61.75
Clos des Papes (Paul Avril) Châteauneuf-du-Pape Blanc 2016,Clos des Papes (Paul Avril),Châteauneuf-du-Pape Blanc,Southern Rhône,White,4.1,83,4.1,1215,51.95
Mount Eden Vineyards Chardonnay 2015,Mount Eden Vineyards,Chardonnay,Californian,Chardonnay,4.1,72,4.2,1200,64
Domaine Michelot Meursault Premier Cru 'Charmes' 2013,Domaine Michelot,Meursault Premier Cru 'Charmes',Burgundy,Côte de Beaune White,4.1,63,4.1,819,59.95
Vincent Dauvissat Séchet Chablís Premier Cru 2013,Vincent Dauvissat,Séchet Chablís Premier Cru,Burgundy,Chablis,4.1,50,4.1,452,67
Domaine Jean-Michel Gaunoux Meursault 2015,Domaine Jean-Michel Gaunoux,Meursault,Burgundy,Côte de Beaune White,4.1,48,4.2,292,52.99
Evening Land La Source Seven Springs Vineyard Chardonnay 2015,Evening Land,La Source Seven Springs Vineyard Chardonnay,Oregon,Chardonnay,4.1,46,4.2,481,71
Dawson James Chardonnay 2015,Dawson James,Chardonnay,Australian,Chardonnay,4.1,27,4.2,115,63.17
Domaine Jamet Condrieu Vernillon 2016,Domaine Jamet,Condrieu Vernillon,Northern Rhône,Condrieu,4.1,39,4,121,65
Patrick Javillier Les Clousots Meursault 2015,Patrick Javillier,Les Clousots Meursault,Burgundy,Côte de Beaune White,4.1,38,4.1,196,78.5
Vincent Girardin Meursault 'Les Narvaux' 2016,Vincent Girardin,Meursault 'Les Narvaux',Burgundy,Côte de Beaune White,4.1,38,4.2,1072,51
Grosset Piccadilly Chardonnay 2016,Grosset,Piccadilly Chardonnay,Australian,Chardonnay,4.1,37,4.1,239,56.75
Domaine Borgeot Vieilles Vignes Chassagne-Montrachet Blanc 2016,Domaine Borgeot,Vieilles Vignes Chassagne-Montrachet Blanc,Burgundy,Côte de Beaune White,4.1,36,4.1,294,54.95
Chanson Chassagne-Montrachet Premier Cru Les Chenevottes 2015,Chanson,Chassagne-Montrachet Premier Cru Les Chenevottes,Burgundy,Côte de Beaune White,4.1,36,4.2,446,96
Marcel et Blanche Fèvre Chablis Grand Cru  'Les Preuses' 2015,Marcel et Blanche Fèvre,Chablis Grand Cru  'Les Preuses',Burgundy,Chablis,4.1,33,4.2,213,60
TOR Torchiana Chardonnay 2014,TOR,Torchiana Chardonnay,Napa Valley,Chardonnay,4.1,32,4,118,69.5
Billaud-Simon Chablis 1er Cru 'Montee de Tonnerre' 2017,Billaud-Simon,Chablis 1er Cru 'Montee de Tonnerre',Burgundy,Chablis,4.1,31,4,1250,60.33
Uva Mira Mountain Vineyards Chardonnay 2016,Uva Mira Mountain Vineyards,Chardonnay,South African,Chardonnay,4.1,31,4.4,475,59.99
Maison Roche de Bellene Puligny-Montrachet Vieilles Vignes 2016,Maison Roche de Bellene,Puligny-Montrachet Vieilles Vignes,Burgundy,Côte de Beaune White,4.1,30,4.2,266,55
Domaine de Blagny Meursault-Blagny Premier Cru 2014,Domaine de Blagny,Meursault-Blagny Premier Cru,Burgundy,Côte de Beaune White,4.1,29,4.2,180,58
Faiveley Meursault 2016,Faiveley,Meursault,Burgundy,Côte de Beaune White,4.1,28,4.1,453,57
Domaine Jean-Michel Gaunoux Meursault Perrières Premier Cru 2011,Domaine Jean-Michel Gaunoux,Meursault Perrières Premier Cru,Burgundy,Côte de Beaune White,4.1,28,4.2,220,63.52
Joseph Drouhin Chassagne-Montrachet Blanc 2017,Joseph Drouhin,Chassagne-Montrachet Blanc,Burgundy,Côte de Beaune White,4.1,41,4.2,1597,55.32
Pascal Jolivet Sancerre Blanc 2016,Pascal Jolivet,Sancerre Blanc,Upper Loire Valley,White,4,1207,4,7767,27.5
Gut Oggau Theodora 2017,Gut Oggau,Theodora,,,4,526,3.9,1343,27.5
Emidio Pepe Trebbiano d'Abruzzo 2016,Emidio Pepe,Trebbiano d'Abruzzo,Central Italy,White,4,357,4,3272,59
Schloss Johannisberg Silberlack Riesling Trocken GG 2017,Schloss Johannisberg,Silberlack Riesling Trocken GG,German,Riesling,4,166,4.2,1610,86.54
Domaine de Chevalier Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2012,Domaine de Chevalier,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Bordeaux,White,4,111,4.1,1515,84
Stony Hill Chardonnay 2013,Stony Hill,Chardonnay,Napa Valley,Chardonnay,4,89,4.1,799,58
